"Planet_key"	"p_name"	"Star_number"	"Mass"	"relative density"	"Radius (Earth)"	"type of terrain"	"Climate Type"
42	"Fjordr Helios"	3896	9.03	0.63	2.43	"jungle:rocky desert:field:reef"	"superheated:temperate:frozen:hot:rocky"
43	"Gomeisa Epsilon"	5253	2.88	0.987	1.43	"mountain:acid pool:fungus forest"	"artic:humid:rocky:windy:arid:tropical"
44	"Chamukuy Vigesimal"	1838	7.48	0.837	2.07	"reef:grassland:swamp"	"hot:rocky:subartic:humid:tropical:temperate"
45	"Chamukuy Undecimal"	1838	5.44	0.845	1.86	"urban:jungle"	"superheated:subartic"
46	"Radiara Quartal"	5208	2.2	0.737	1.44	"plateau:rocky desert:sea:cliff"	"frozen:temperate:humid:artic"
47	"Radiara Nonal"	5208	0.42	1.291	0.69	"swamp"	"frozen:subartic:tropical:hot"
48	"Radiara Duodecimal"	5208	6.65	1.42	1.67	"ocean:plain:toxic cloudsea:tundra:ash:rocky desert:acid pool:sinkholes:cityscape"	"frozen:artic:subartic:hot:artificial temperate:superheated"
49	"Radiara Septimal"	5208	1.14	1.386	0.94	"canyons:urban"	"rocky:humid:frozen"
50	"Pherkad Wu"	199	2.91	1.134	1.37	"field"	"frigid:temperate:tropical"
51	"Pherkad Er"	199	8.17	1.583	1.73	"volcano"	"hot:frigid:windy"
52	"Alula Borealis XXIV"	3234	0.76	0.808	0.98	"swamp:sinkholes:volcano"	"artic:tropical:temperate:humid:superheated"
53	"Alula Borealis IX"	3234	6.47	0.981	1.88	"rocky canyon:ice cave:urban:island"	"tropical:subartic:rocky:humid:frozen"
54	"Alula Borealis XXII"	3234	1.75	1.033	1.19	"plateau:mountain"	"frozen:windy:frigid:humid"
55	"Cacophonic Murmurs II"	8331	0.39	1.185	na	"cliff:rocky canyon:island:river:forest"	"artic:superheated:tropical"
56	"Algedi Decimal"	9140	1.34	0.566	1.33	"cityscape"	"hot:windy:artic:frigid:subartic"
57	"Algedi Quintal"	9140	1.66	1.404	1.06	"ocean"	"windy:frigid:hot:artic:artificial temperate:arid:humid"
58	"Algedi Octal"	9140	4.67	1.047	1.65	"rock arche:vine:plateau"	"tropical:hot:temperate"
59	"Algedi Duodecimal"	9140	3.22	0.892	1.53	"desert:volcano"	"temperate:hot:tropical:artificial temperate"
60	"Nebulous Silence Gaios"	4732	0.7	1.035	0.88	"savanna:river:plain:ash:desert:scrubland:lava river"	"artic:windy:superheated:artificial temperate:arid:tropical"
61	"Aurum Obscura Xi"	6411	5.33	1.125	1.68	"island:sea:plateau"	"artificial temperate:humid"
62	"Tiaki Duodecimal"	2130	3.04	0.876	1.51	"ice canyon:island:forest:valley"	"windy:humid:frozen:rocky"
63	"Nebula Obscura Shi"	7493	8.94	0.977	2.09	"cliff"	"superheated:temperate:artic:frigid:frozen:windy"
64	"Nebula Obscura Er"	7493	8.58	0.569	2.47	"jungle"	"subartic:superheated"
65	"Nebula Obscura Wu"	7493	1.93	1.062	na	"tundra:ice canyon:canyons:forest"	"frozen:artic:windy:rocky"
66	"Nebula Obscura Ba"	7493	0.65	0.88	0.9	"city:volcano"	"superheated:arid"
67	"Exoplanix Titanos"	5837	5.67	1.257	1.65	"cave:scrubland"	"rocky:tropical:superheated:arid"
68	"Exoplanix Janusian"	5837	5.92	0.594	2.15	"rainforest"	"humid:windy"
69	"Exoplanix Gaian"	5837	2.72	1.127	1.34	"grassland:plain:sea:urban:mountain"	"subartic:humid:frigid"
70	"Heze Alpha"	7439	7.27	0.721	2.16	"lakes"	"windy:artic"
71	"Heze Lambda"	7439	2.55	1.103	na	"tundra:jungle:hill"	"artic:humid:subartic:frigid"
72	"Zubeneschamali Artemian"	2655	8.91	1.248	1.93	"cave"	"arid:superheated"
73	"Zubeneschamali Museios"	2655	8.65	1.133	1.97	"vine:urban:desert:forest"	"artificial temperate:artic:rocky:frozen:arid"
74	"Zubeneschamali Irisian"	2655	5.51	0.832	1.88	"city:rocky island:mountain:sinkholes:hill:ocean:plateau:barren:jungle"	"humid:tropical:subartic:superheated:temperate:arid:frigid"
75	"Celestial Ember Shi"	869	1.62	1.161	1.12	"acid pool:verdant"	"frigid:artic:frozen:windy:hot:subartic"
76	"Kaus Borealis Dionysios"	514	5.79	1.14	1.72	"river:ocean:island:valley:ice canyon"	"frigid:arid:windy:frozen"
77	"Kagayaki Nereidos"	6339	7.9	0.945	2.03	"canyons:field:mountain"	"temperate:rocky"
78	"Kagayaki Chimeraean"	6339	4.52	0.751	1.82	"rainforest:savanna:island:volcano:lakes:canyons"	"subartic:superheated:rocky:frigid"
79	"Crimson Enigma Psychean"	3079	1.18	1.061	1.04	"glacier:jungle:river"	"rocky:hot:frigid:artic:tropical:subartic:windy"
80	"Gloas Si"	243	1.64	1.18	1.12	"swamp:field"	"humid:artic:artificial temperate:hot:arid"
81	"Gloas Shi"	243	6.69	1.229	1.76	"lava river:valley:grassland:city"	"hot:artificial temperate:tropical:artic:windy:humid"
82	"Hayabusa Nexus Prime"	4087	2.91	0.789	1.54	"glacier:island:mountain:savanna:verdant"	"rocky:windy:temperate:frigid:humid:artificial temperate"
83	"Hayabusa Nexus Octal"	4087	7.5	0.525	2.43	"river:ocean"	"artificial temperate"
84	"Zenithariana Sirenios"	4081	3.4	1.281	1.38	"rocky desert:swamp"	"subartic:rocky:arid:frigid:tropical"
85	"Rigil Kentaurus Lambda"	6015	7.19	1.114	1.86	"rocky desert:island:field"	"frozen:hot:frigid:temperate:arid"
86	"Rigil Kentaurus Theta"	6015	3.09	0.792	1.57	"plain:tundra"	"artificial temperate:arid:rocky:frigid"
87	"Quantumith XIV"	9432	2.16	0.951	1.31	"lakes:ice canyon"	"frozen:tropical"
88	"Felixvarela Ba"	6502	6.69	0.762	2.06	"rock arche:desert"	"rocky"
89	"Felixvarela Si"	6502	1.48	1.001	1.14	"city:sea:rocky desert:canyons"	"tropical:artic:windy:frozen:temperate:rocky"
90	"Felixvarela Wu"	6502	5.66	1.159	1.7	"city:desert:valley"	"tropical:artic:subartic:artificial temperate:humid:arid"
91	"Alnitak Echoian"	7136	2.36	1.429	1.18	"urban"	"artic"
92	"Wezen Prime"	3295	0.37	0.881	0.75	"rainforest:sea"	"tropical:artic:temperate:subartic"
93	"Eaglecrest Decimal"	4041	4.17	0.608	1.9	"city:rocky desert:rocky island:savanna:lava river:jungle"	"arid:tropical:rocky:humid"
94	"Eaglecrest Quintal"	4041	1.13	0.977	1.05	"verdant:lava river"	"artificial temperate:arid:subartic:rocky"
95	"Buna X"	4350	3.82	0.828	1.66	"sea:valley:cliff"	"arid:temperate:windy"
96	"Buna XXIV"	4350	2.34	1.259	1.23	"bog:verdant:cityscape"	"artificial temperate:frigid:tropical:hot"
97	"Ephemeral Phoenix Demetrian"	9876	2.38	1.104	1.29	"rocky desert:city"	"artificial temperate:frozen"
98	"Cosmaraith Ba"	3654	3.36	1.118	1.44	"lakes:ice cave"	"frigid:superheated:humid:tropical:artificial temperate"
99	"Cosmaraith Jiu"	3654	3.92	0.889	1.64	"mountain:toxic cloudsea:savanna"	"superheated:temperate:frigid:hot:humid:artic"
100	"Cosmaraith Yi"	3654	1.92	1.334	1.13	"rock arche:cave:lakes:rainforest:grassy hill:acid pool"	"windy:tropical:arid:rocky:artificial temperate"
101	"Cosmaraith San"	3654	6.02	1.192	1.72	"bog"	"humid:arid:superheated:tropical"
102	"Auroraflame Sigma"	2908	1.74	1.226	1.12	"rocky canyon:reef"	"windy:temperate:subartic:frozen:rocky"
103	"Luminous Nexus Si"	9059	2	0.839	na	"grassland:grassy hill:island"	"hot:windy:rocky:tropical:temperate:superheated"
104	"Nebulonara Typhonian"	8174	1.92	1.089	1.21	"savanna"	"tropical:humid"
105	"Nebulonara Janusian"	8174	6.23	1.005	1.84	"cliff"	"artic:frigid:tropical"
106	"Mago Liu"	4571	1.01	0.909	1.04	"rock arche:ocean:plain:rocky island"	"temperate:humid:artificial temperate"
107	"Alkaphrah Museios"	6575	na	0.848	2.12	"cave:ash:sea:cityscape:sinkholes:hill"	"artic:frozen:frigid:superheated"
108	"Lygos Veil Quartal"	3452	6.71	0.52	2.35	"cliff"	"superheated:subartic"
109	"Lygos Veil Tertial"	3452	2.41	0.974	1.35	"hill:ice canyon:mountain:acid pool:swamp:rainforest"	"tropical:rocky:hot:subartic:windy:temperate:frigid"
110	"Celestial Mirage Prime"	2509	4.94	1.131	1.63	"toxic cloudsea"	"humid:tropical:frozen"
111	"Celestial Mirage Quartal"	2509	1.83	1.26	1.13	"lava river:ice cave:cityscape"	"windy:artificial temperate:hot:artic"
112	"Celestial Mirage Sextant"	2509	2.48	1.27	1.25	"mountain:reef:desert"	"frigid:superheated"
113	"Celestial Mirage Secant"	2509	2.03	0.717	1.41	"rocky canyon:toxic cloudsea:ash:barren:tundra:sinkholes:jungle:sea:fungus forest"	"tropical:temperate:frozen:hot:arid:humid"
114	"Kurai Veil Quintal"	4777	6.67	0.98	1.89	"field:acid pool:jungle:rocky canyon:mountain:toxic cloudsea:canyons"	"rocky:windy:frigid:artic:arid:hot"
115	"Whispering Cosmos Sigma"	3700	2.5	0.995	1.36	"cliff"	"humid:windy:arid:temperate"
116	"Whispering Cosmos Beta"	3700	na	1.544	1.64	"river"	"windy:humid:artificial temperate:artic:subartic:rocky"
117	"Whispering Cosmos Nu"	3700	2.03	1.314	1.16	"ash"	"artic:subartic:humid:hot"
118	"Whispering Cosmos Upsilon"	3700	0.85	1.157	0.9	"city"	"tropical:frozen:frigid:rocky"
119	"Comet Shroud XXIII"	9190	0.8	1.151	0.89	"volcano:scrubland:cliff:ocean:rocky desert:plateau"	"artic:frigid:frozen:arid"
120	"Dracoara Aetherios"	3613	6.1	0.908	1.89	"urban"	"superheated:frigid:humid:tropical"
121	"Nebula Nexus Cerberian"	8703	2.07	0.76	1.4	"city"	"frozen"
122	"Nebula Nexus Pantheon"	8703	3.8	0.791	1.69	"ice canyon:cliff:city:ocean"	"superheated:frozen:humid:rocky"
123	"Nebula Nexus Titanos"	8703	6.88	0.754	2.09	"bog:plateau"	"windy:hot"
124	"Itonda VII"	7176	7.83	0.613	2.34	"valley:urban:rock arche"	"frigid:artic"
125	"Itonda XIX"	7176	2.91	1.358	1.29	"acid pool:forest:jungle:toxic cloudsea"	"superheated:subartic:frozen:temperate"
126	"Itonda VI"	7176	0.89	1.34	0.87	"canyons:acid pool:sinkholes:volcano:island:jungle"	"hot:humid:rocky:windy:artic"
127	"Solaraether XXII"	1928	na	0.807	1.23	"bog:scrubland:verdant:river:reef:cliff"	"humid:superheated:tropical:arid:temperate"
128	"Solaraether XXI"	1928	7.82	1.093	1.93	"bog:reef:cliff:field:savanna"	"rocky:temperate:arid:frozen:artificial temperate:humid"
129	"Arcadian Whispers Quartal"	6346	4.83	0.839	1.79	"volcano:tundra:ocean"	"superheated:artic:arid:artificial temperate:temperate:hot"
130	"Arcadian Whispers Vigesimal"	6346	2.15	1.035	1.28	"valley:vine"	"arid:temperate:rocky:artificial temperate"
131	"Sharjah Chi"	3034	3.25	1.104	1.43	"river:tundra"	"subartic:temperate:hot"
132	"Lich Kappa"	976	4.84	1.437	1.5	"rocky island:ocean"	"humid:hot:subartic:windy:artificial temperate:arid:rocky"
133	"Flegetonte X"	3745	3.18	0.781	1.6	"cave:mountain"	"artic:hot:tropical:rocky:superheated"
134	"Flegetonte XXIII"	3745	1.85	0.924	1.26	"lakes:rocky desert:hill:swamp:ocean:grassland"	"windy:frigid:humid:temperate:superheated"
135	"Pharaoh's Reverie Tertial"	4026	1.3	1.246	1.01	"volcano:grassy hill"	"artic:superheated:hot:windy:subartic"
136	"Polis Qi"	2228	2.82	0.857	1.49	"hill:cliff:ocean:plateau"	"tropical:frozen:artic:subartic"
137	"Polis Liu"	2228	0.89	1.091	0.93	"jungle:forest:grassy hill:sinkholes:cityscape"	"hot:tropical:temperate"
138	"Eternal Murmurs Alpha"	6139	2.39	0.939	1.37	"verdant:island"	"frozen:subartic:rocky:superheated:temperate"
139	"Eternal Murmurs Psi"	6139	7.8	1.237	1.85	"ocean:forest"	"humid:tropical"
140	"Bosona Duodecimal"	1495	8.83	1.114	1.99	"sea:lakes"	"humid:superheated:windy:temperate:subartic:artic:tropical"
141	"Thoth's Radiance XX"	376	2.63	0.929	1.41	"rocky desert:cliff:rocky island:forest:canyons:toxic cloudsea:desert"	"arid:artificial temperate:subartic:artic:frigid"
142	"Hawkfire V"	4872	4.29	0.971	1.64	"verdant:desert:cliff:sea:rock arche"	"subartic:artic:hot:tropical"
143	"Hawkfire XI"	4872	2.46	1.015	1.34	"ice canyon:island:city"	"artic:windy:arid:hot:subartic"
144	"Hawkfire XXIV"	4872	1.93	0.724	1.39	"barren:savanna:bog"	"humid:arid:frozen"
145	"Oakenshield III"	3018	1.48	1.206	1.07	"river:cityscape:sea"	"artificial temperate:artic:arid:hot"
146	"Elgafar XVIII"	805	1.74	1.067	1.18	"plateau:ocean:rocky canyon:cave:plain"	"superheated:artificial temperate:subartic"
147	"Celestros Theta"	7940	6.92	1.169	1.81	"glacier:cliff:sinkholes:bog:toxic cloudsea:savanna"	"artic:hot:temperate:subartic:humid:rocky"
148	"Terebellum VI"	3501	3.17	0.851	1.55	"tundra:cave:urban:rainforest:grassy hill:rocky canyon"	"windy:rocky:humid:arid:artificial temperate"
149	"Astroflux I"	21	2.62	1.215	1.29	"swamp:scrubland:urban:rock arche:grassy hill:mountain:city:rainforest"	"arid:artic:temperate:frozen:humid"
150	"Pulsarianix XIX"	3842	6.51	0.592	2.22	"jungle:bog:vine:rock arche"	"tropical:temperate:artificial temperate:rocky"
151	"Ombraflux Er"	2265	3.51	1.124	1.46	"cityscape:rocky island"	"artificial temperate:temperate:subartic"
152	"Ombraflux Yi"	2265	4.25	0.773	1.76	"sinkholes:rainforest:sea:reef"	"subartic:superheated:artic:rocky:windy:frozen:temperate"
153	"Ombraflux Wu"	2265	9.28	1.124	na	"island:fungus forest:volcano"	"arid:tropical"
154	"Ombraflux San"	2265	2.33	1.077	1.29	"field:island:grassland"	"tropical:windy:artificial temperate:temperate"
155	"Solarianth San"	5360	1.14	1.187	0.99	"bog:canyons:city:vine:sea"	"hot:tropical:humid:rocky:temperate"
156	"Solarianth Yi"	5360	1.21	0.561	1.29	"volcano"	"subartic:arid:rocky:temperate:artificial temperate"
157	"Solarianth Si"	5360	5.26	0.99	1.74	"plain:tundra"	"artificial temperate:rocky:humid:subartic"
158	"Solarianth Er"	5360	2.26	0.879	1.37	"plateau:field:valley:jungle"	"artificial temperate:windy:temperate:tropical"
159	"Tegmine V"	1182	6.48	0.711	2.09	"city:rocky island:field:cliff"	"artificial temperate:temperate:rocky:windy:humid"
160	"Tegmine VII"	1182	2.39	1.17	1.27	"city:ocean"	"temperate:rocky:humid"
161	"Cujam Tritonian"	6160	8.12	1.496	1.76	"rocky desert:ice canyon:rock arche:sea:rocky canyon"	"arid:frozen:frigid:subartic"
162	"Algieba Liu"	6233	2.91	1.031	1.41	"valley:city"	"artic:humid:subartic:tropical"
163	"Algieba Qi"	6233	1.3	0.745	1.2	"mountain"	"rocky:frozen:arid"
164	"Algieba Ba"	6233	1.01	0.903	1.04	"verdant:forest:rocky island:savanna:vine"	"artificial temperate:rocky:artic:subartic"
165	"Cleopatra's Resonance Undecimal"	129	2.14	0.69	1.46	"rocky desert:vine:hill:toxic cloudsea:river:rock arche"	"frozen:arid:superheated:artic"
166	"Cleopatra's Resonance Septimal"	129	1.93	1.47	1.1	"rocky island:city:verdant:urban:rock arche"	"artificial temperate:frigid:temperate:frozen"
167	"Cleopatra's Resonance Vigesimal"	129	5.36	0.819	1.87	"island:lava river:ice canyon"	"subartic:frigid:hot"
168	"Celaeno Faunios"	4754	1.04	0.856	1.07	"cliff:canyons:rock arche:sea"	"rocky:windy:temperate:hot:artificial temperate:tropical"
169	"Celaeno Athenian"	4754	3.95	0.945	1.61	"lava river:lakes:sea:grassy hill:verdant"	"temperate:hot:tropical:artificial temperate"
170	"Stribor Octal"	1368	6.3	1.089	1.8	"rocky canyon"	"windy:arid:artic:temperate"
171	"Stribor Septimal"	7794	2.04	1.046	1.25	"cityscape:sea:savanna"	"humid:superheated:tropical:hot"
172	"Kasai XXI"	5773	3.73	0.928	1.59	"sea"	"frigid:artic:artificial temperate"
173	"Kasai XVII"	5773	na	0.986	1.22	"plateau:volcano"	"windy:arid:subartic"
174	"Kasai XVIII"	5773	9.89	0.774	2.34	"reef:valley"	"frigid:artic:frozen:superheated:artificial temperate:temperate"
175	"Sekhmet's Ember Quintal"	2945	5.22	0.797	1.87	"grassy hill:fungus forest:river:plateau"	"frigid:humid:windy:artic"
176	"Lunaris Hermesios"	4199	2.65	0.761	1.52	"cityscape:tundra:mountain"	"windy:subartic:tropical:artic:temperate:hot"
177	"Lunaris Zephyrian"	4199	1.43	0.886	1.17	"city"	"artic"
178	"Polaris Australis Delta"	4843	1.25	0.598	1.28	"rocky island:rocky desert:lakes:rocky canyon"	"temperate:humid:superheated:frigid"
179	"Cosmara Qi"	9000	4.01	0.977	1.6	"island:valley:rocky island:lakes:rocky desert"	"superheated:frozen:humid:artificial temperate:temperate:subartic"
180	"Cosmara Ba"	9000	4.94	0.977	1.72	"cave:toxic cloudsea"	"windy:artic:rocky:frozen"
181	"Asterope Jiu"	1459	2.39	1.177	1.27	"acid pool:reef"	"arid:hot:humid"
182	"Asterope Ba"	1459	0.75	0.616	1.07	"ice canyon"	"windy:tropical:arid:frozen"
183	"Asterope Yi"	1459	2.44	1.149	1.29	"lava river"	"artic:arid"
184	"Asterope Wu"	1459	1.62	0.84	1.24	"hill:ocean:swamp:river:bog:canyons:acid pool"	"temperate:rocky:artificial temperate:tropical:windy:humid"
185	"Skybreaker Hermian"	1224	3.38	0.575	1.8	"acid pool:rocky canyon"	"temperate:artic:tropical:artificial temperate:subartic:hot:frigid"
186	"Ashlesha Shi"	7620	3.4	0.464	na	"rock arche:valley"	"windy:subartic:hot"
187	"Ashlesha San"	7620	5.85	1.403	1.61	"reef:glacier"	"frigid:humid:temperate:rocky:hot:tropical"
188	"Skaldspark Theta"	3399	5.55	0.743	1.95	"toxic cloudsea:cityscape:ice cave:lakes:lava river"	"artificial temperate:artic:arid:hot"
189	"Skaldspark Upsilon"	3399	0.91	0.817	1.04	"savanna:reef:barren"	"arid:artificial temperate:subartic"
190	"Rōka Pi"	9549	5.12	0.785	1.87	"toxic cloudsea"	"rocky:frozen:tropical:frigid"
191	"Inazuma Shadows VII"	9503	1.63	0.726	1.31	"rocky canyon:ocean:city:grassland:field:lakes"	"windy:artic:tropical:artificial temperate:temperate"
192	"Inazuma Shadows XIV"	9503	2.93	0.744	1.58	"volcano:cliff:city"	"hot:temperate"
193	"Vortexarian Beta"	8564	2.43	1.144	1.29	"ice cave:valley:jungle:plateau:desert"	"subartic:artificial temperate:artic:hot"
194	"Vortexarian Xi"	8564	3.29	0.788	1.61	"grassy hill:rock arche:river"	"artificial temperate:windy:temperate"
195	"Nebulonix IV"	3866	8.76	0.796	2.22	"rocky island:city"	"windy:subartic:rocky:superheated"
196	"Bastet's Horizon Er"	6736	9.32	1.048	2.07	"jungle:verdant:rocky desert:rocky canyon:cityscape:savanna"	"tropical:humid:temperate:superheated:frozen"
197	"Bastet's Horizon Ba"	6736	4.08	1.205	1.5	"barren:desert:field"	"temperate:subartic:humid:arid:tropical:superheated"
198	"Bastet's Horizon San"	6736	8.41	1.491	1.78	"ice cave:acid pool:glacier:hill:rainforest:swamp"	"tropical:windy:frozen:subartic:humid"
199	"Bastet's Horizon Jiu"	6736	0.94	1.409	0.87	"ice canyon:ocean:ash"	"hot:temperate:arid:artic:tropical:artificial temperate:subartic"
200	"Algol Kappa"	3627	8.01	0.958	2.03	"grassy hill:lakes:ocean:volcano"	"rocky:hot:subartic:windy"
201	"Algol Delta"	3627	8.64	0.935	2.1	"cityscape:savanna:mountain"	"rocky:windy:subartic"
202	"Algol Omega"	3627	2.01	1.346	1.14	"bog:lava river"	"artificial temperate:hot:arid:frozen:superheated"
203	"Algol Theta"	3627	1.34	0.524	1.37	"river:cityscape"	"rocky"
204	"Helian Nebula Liu"	6816	2.3	0.75	1.45	"glacier:rainforest:plateau:jungle:river:forest:ice canyon:rocky island"	"superheated:rocky:frigid:subartic:temperate"
205	"Helian Nebula Ba"	6816	9.87	0.869	2.25	"city"	"humid"
206	"Arcalís Sextant"	4416	1.79	0.815	1.3	"mountain:lava river:rocky canyon:desert:sea"	"frigid:arid:windy:artic"
207	"Arcalís Undecimal"	4416	6.53	0.98	1.88	"river:plain"	"rocky"
208	"Saiph Olympios"	9165	2.91	0.484	1.82	"ice canyon"	"artic:artificial temperate"
209	"Saiph Chimeraean"	9165	1.3	1.016	1.09	"lakes:volcano:glacier:tundra"	"frozen:artic:hot:temperate:tropical"
210	"Albireo V"	9805	2.3	1.055	1.3	"sea"	"frigid"
211	"Albireo XX"	9805	0.93	1.01	0.97	"plain:toxic cloudsea"	"frozen:windy:subartic"
212	"Electra Artemian"	6692	4.1	1.189	1.51	"lava river:jungle"	"frigid:frozen:artic:superheated"
213	"Achernar San"	7053	8.33	1.345	1.84	"ocean:ash"	"tropical:superheated:humid:artificial temperate:frozen:hot"
214	"Achernar Jiu"	7053	5.36	0.796	1.89	"river:volcano:ocean:canyons:cave"	"rocky:windy:superheated:frigid"
215	"Achernar Si"	7053	6.36	1.396	na	"tundra:desert:scrubland:glacier:sea:valley:jungle"	"rocky:hot:windy:arid:subartic:frozen:temperate"
216	"Kachō Yi"	8207	9.52	0.785	2.3	"valley:ash:fungus forest"	"humid:superheated:rocky:frozen"
217	"Kachō Wu"	8207	1.86	0.676	1.4	"toxic cloudsea:glacier"	"frozen:subartic"
218	"Quantum Radiance Nemesisian"	705	2.02	0.897	1.31	"hill:reef:fungus forest:rocky desert:canyons"	"rocky:humid:artificial temperate"
219	"Quantum Radiance Dionysios"	705	5.19	1.063	1.7	"cave:bog:plain:hill"	"temperate:hot:artic"
220	"Lurking Whispers Mu"	1879	1.46	0.962	1.15	"glacier:volcano:vine:cave:swamp:lakes:cliff:bog"	"tropical:frigid:artic:windy:superheated:artificial temperate"
221	"Lurking Whispers Lambda"	1879	1.47	1.086	1.11	"rocky island:acid pool:rocky desert:cityscape"	"rocky:arid:frigid"
222	"Nyamien Beta"	9964	8.26	0.999	2.02	"verdant:tundra:savanna:rock arche:cliff:island:rocky desert:toxic cloudsea"	"arid:humid:rocky:artic:frigid"
223	"Nyamien Omicron"	9964	2.56	1.28	1.26	"plain:hill:island"	"arid:artic:superheated:temperate"
224	"Nyamien Upsilon"	9964	2.54	0.958	1.38	"lakes:ocean:sinkholes"	"windy:frigid:rocky:tropical:superheated:artificial temperate"
